verified_reviews,rating,predicted_rating
Sad joke. Worthless.,2,5
"Really disappointed Alexa has to be plug-in to wall socket all the time.  My fault for not checking this, but made the assumption that a company has technologically advanced as Amazon would sell this product with a rechargeable battery.  If I could return it, I would as my Apple music and boom speaker give me more flexibility the Alexa.",2,5
Item no longer works after just 5 months of use. Will not connect to wifi and unresponsive to reset requests.,1,5
not working,1,5
Has weird pauses in her speech pattern that are not present in my other echo devices.,3,5
Dont trust this....,1,5
Item has never worked. Out of box it is broken. Spent several days trying to get it working and running same &#34;fixes&#34; from Amazon. The only thing accomplished is I will never order another refurbished device.,1,5
So far so good,3,5
Not good at all!,1,5
Bought 2 and both quit connecting to wifi and responding to voice within 9 months. Hard and soft reset will not fix the problem.,1,4
"I received my Echo Dot today in good condition, but be advised: I paid $29.99 for it and Amazon has (as of this writing) raised the price to $39.99, so do your research before buying so you can get a good deal!Set up with the Dot went simple enough — plug it in, follow the app instructions... except initially it took a while to actually show up in my iPhone’s WiFi settings. I called Amazon customer service, and I dunno what it is, but lately I’ve been getting terrible support. The guy that took my call just rambled off a (completely unhelpful) script and I ended up setting up the Dot while he was in the middle of his spiel.I’m not sure if this is the norm or if it’s because this is refurbished, but the Dot has a pretty finicky wifi range and randomly disconnects even though the app shows that the range of my 5GHz connection is strong. Reconnecting is a pain each time as well.All that said, when Alexa works, she works amazingly well. I don’t have a speaker hooked up to it, but one thing I really enjoy is the mic’s range and sensitivity. One of the more annoying limitations of Apple’s Siri is that when she’s playing audio through device speakers (music, podcasts, etc), the “Hey Siri” feature is all but useless. Alexa has no problem hearing me over whatever is playing at the time, and with amazingly fast responsiveness too. I haven’t tried this with louder speakers yet, so I’m not sure if this will continue to hold true.Setting up Alexa to control all my wireless devices was a breeze, albeit with limitations — support for Arlo devices is nil, and if you have special settings for your LED devices (eg. rainbow effects), Alexa can’t handle them, she only knows how to change solid colors and brightness levels.All in all, my rating would’ve been lower had I not gotten a decent price on this item. If the connectivity problems persist, I may have to exchange/return this item. I don’t want to though — Alexa’s kind of growing on me.",3,5
So far not impressed at all. Does not save groups correctly can not understand me most of the time I'm not sure what the excitement is all about. Alexas voice sounds like it's under water how am I supposed to understand!!!!I'm going to return and try a google home!!!,1,5
"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again.",3,5
"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??",1,5
Sad joke. Worthless.,2,5
"Really disappointed Alexa has to be plug-in to wall socket all the time.  My fault for not checking this, but made the assumption that a company has technologically advanced as Amazon would sell this product with a rechargeable battery.  If I could return it, I would as my Apple music and boom speaker give me more flexibility the Alexa.",2,5
"As an Alexa device, it works just as well as any of the other products.  Unfortunately it doesn't go up from there.  The ability to play videos is very limited.  You CAN NOT play YouTube and when you can play a video the cropping of the screen makes it look very strange. There is quite a selection of clock faces, and you can control what is displays with one glaring and VERY ANNOYING exception.  You can't turn off the &#34;Things to try&#34; screen You can turn off the screen scroll, but that defeats the purpose of having the screen.  I don't need to be reminded every 5 seconds what things I can do with Alexa.  I don't need the advertising, especially at the cost of this device.  Overall, its an expensive Alexa device with a screen that's not very useful and annoying.  I would not recommend this until the Amazon people get their act together and come up with a screen that's actually useful.",2,5
"This product currently has two related software flaws that make it completely unusable:1) There is a &#34;card&#34; on the homescreen called &#34;Things To Try&#34; -- it's an ad for other Alexa services you can try. You can turn off all the other homescreen cards, but not this one.2) By default, the homescreen cards &#34;cycle&#34; automatically, which is incredibly annoying. There is a setting where you can opt to have the cards only &#34;cycle once&#34; instead of &#34;cycle continuously&#34;, but critically *this setting does not work*. My unit has been set to &#34;cycle once&#34;, and the cards still continue to cycle all the time. Have rebooted the device, re-set, etc etc.Until these two obvious software issues are fixed, in my opinion the product is useless.",1,5
You need a Harvard law degree to operate this thing! It's going back very soon!,1,5
product turns on randomly and sometimes at night,2,5
